
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
CNSV	102	JM	92228	Composition Tutorial	4		.	.	.	.	.	.	.			Jessie Montgomery	PA 		5
CNSV	102	JT	92229	Composition Tutorial	4		.	.	.	.	.	.	.			Joan Tower	PA 		5
CNSV	102	GT	92230	Composition Tutorial	4		.	.	.	.	.	.	.			George Tsontakis	PA 		5
CNSV	104		92231	Secondary Piano	2		.	.	.	.	.	.	.			Erika Switzer	PA 		20
CNSV	106	RM	92232	Voice Lessons	2		.	.	.	.	.	.	.			Rufus Muller	PA 		5
CNSV	106	TB	92233	Voice Lessons	2		.	.	.	.	.	.	.			Teresa Buchholz	PA 		5
CNSV	106	LFG	92234	Voice Lessons	2		.	.	.	.	.	.	.			Lucy Fitz Gibbon	PA 		5
CNSV	108		92236	First-Year Conservatory Forum: Wellness, Life Skills and Chamber Music	2		M	.	.	.	.	.	.	6:40 PM	8:00 PM	Melissa Reardon/Raman Ramakrishnan	PA 		30
CNSV	110		92237	Chamber Music	2		.	.	W	.	.	.	.	1:20 PM	3:20 PM	Marka Gustavsson	PA 		100
CNSV	112		92238	Orchestral Training and Repertoire	0		.	T	.	Th	.	.	.	7:00 PM	9:30 PM	Erica Kiesewetter	PA 		100
CNSV	118		92247	Chinese Ensemble	0		M	.	W	.	.	.	.	7:30 PM	10:00 PM	Chen Tao	PA 		15
CNSV	125		92249	Literature and Language of Chinese Music I: Introduction	2		.	.	.	Th	.	.	.	12:20 PM	1:40 PM	Mingmei Yip-Redmond	AA 		12
CNSV	128		92251	Literature and Language of Chinese Music III: Folk Music	2		.	.	.	Th	.	.	.	1:50 PM	3:10 PM	Mingmei Yip-Redmond	AA 		12
CNSV	130		92239	Orchestral Repertoire for Winds, Brass, Percussion, and Harp	2		.	.	W	.	.	.	.	2:00 PM	3:30 PM	Edward Carroll	PA 		30
CNSV	140		92240	Core Sequence Class I: Diatonic Harmony and Single Species Counterpoint	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Eric Wen	PA 		20
CNSV	201		92241	Composing for Film: Aesthetics & Techniques	2		.	.	.	.	.	.	.			Mark Baechle	PA 		15
CNSV	211		92242	Alexander Technique for Musicians	1		.	.	.	.	.	.	.			Alexander Farkas	PA 		20
CNSV	218		92250	Literature and Language of Chinese Music III: Folk Music	2		.	T	.	.	.	.	.	3:30 PM	4:50 PM	Xinyan Li	PA 		12
CNSV	308		92243	Aural Skills III	2		.	T	.	Th	.	.	.	8:30 AM	9:50 AM	David Sytkowski	PA 		12
CNSV	310		92244	Keyboard Skills	2		.	.	.	.	.	.	.			Frank Corliss	PA 		12
CNSV	330	B	92245	Core Sequence Class III: Composition for Performers	4		.	T	.	.	.	.	.	10:40 AM	12:00 PM	Joan Tower	PA 		12
CNSV	330	A	92325	Core Sequence Class III: Composition for Performers	4		.	T	.	.	.	.	.	9:10 AM	10:40 AM	Joan Tower	PA 		8
CNSV	333		92252	Core Sequence Class IV: Conservatory Seminar on Chinese Music and Society	4		.	T	.	.	.	.	.	6:00 PM	9:00 PM	Jindong Cai	None		12
CNSV	403		92246	Senior Recital Seminar	2		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Peter Laki/Raman Ramakrishnan	PA 		40
DAN	103A	SB	92254	Introduction to Contemporary African Dance	1		M	.	W	.	.	.	.	8:30 AM	9:50 AM	Souleymane Badolo	PA 		25
DAN	103B	TL	92253	Beginning Ballet I	1		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Tara Lorenzen	PA 		25
DAN	103M	DG	92263	Intro to Modern Dance: Hip Hop	1		.	T	.	Th	.	.	.	4:40 PM	6:00 PM	Dedrick Gray	PA 		20
